,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
80,"Se Amerita","Junior H",1027991,https://open.spotify.com/track/3pQYf90V5idOGrXzosm9rt
81,Butter,BTS,1016720,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
82,Tú,"Carin Leon",1014802,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
83,"Ahora Te Puedes Marchar","Luis Miguel",1008017,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
84,"El Drip","Natanael Cano",1000412,https://open.spotify.com/track/5NCBP3ivrIDcHEtzHSW3k0
85,"I WANNA BE YOUR SLAVE",Måneskin,991395,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
86,"Leave The Door Open","Bruno Mars",985931,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
87,"MONTERO (Call Me By Your Name)","Lil Nas X",982258,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
88,"TE MUDASTE","Bad Bunny",967728,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
89,"De Los Besos Que Te Di","Christian Nodal",964642,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
90,Brillas,"León Larregui",963759,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
91,"Todas Mueren por Mí","Cartel De Santa",959333,https://open.spotify.com/track/3p2KYoBgxUaaoJzXUToM8a
92,Toketeo,"Ghetto Kids",958416,https://open.spotify.com/track/0pRgURvgp75RPKjTGQodau
93,"Happier Than Ever","Billie Eilish",957206,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
94,"Ramito De Violetas","Mi Banda El Mexicano",946373,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
95,"Bombos y Tarolas","Cartel De Santa",939361,https://open.spotify.com/track/5MyEACD2kRFeh231Z6FkdE
96,"No Me Conoce - Remix","Jhay Cortez",933180,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
97,Reloj,"Rauw Alejandro",926630,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
98,"Ya Supérame (En Vivo)","Grupo Firme",924101,https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
99,"Música Romántica","Pancho Barraza",923085,https://open.spotify.com/track/0gOwkN1piWLMINfj97SogV
100,"Palabra de Hombre","El Fantasma",921973,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
101,"KESI - Remix",Camilo,916938,https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy
102,"Need To Know","Doja Cat",897636,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
103,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",887331,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
104,Vete,"Bad Bunny",879359,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
105,Callaita,"Bad Bunny",874701,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
106,"Don't Start Now","Dua Lipa",874064,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
107,"El Güero (Feat. Marca MP)","Grupo Firme",869335,https://open.spotify.com/track/2MeEuwplwbbjZ7hxRI6viw
108,"Si Estuviésemos Juntos","Bad Bunny",862946,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
109,"Disfruto Lo Malo","Junior H",862662,https://open.spotify.com/track/46DU5gYWY2vjE79mbhX4Wv
110,"Pa' Olvidarme De Ella","Piso 21",862255,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
111,"drivers license","Olivia Rodrigo",862252,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
112,"Hasta Que Me Olvides","Luis Miguel",854903,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
113,"Si Te Pudiera Mentir","Calibre 50",848401,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
114,Todavia,"La Factoria",844835,https://open.spotify.com/track/3D5uEBD0cAEGZGUo5j9045
115,"deja vu","Olivia Rodrigo",844261,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
116,"La Santa","Bad Bunny",843218,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
117,"Hasta la Miel Amarga (feat. Grupo Firme)","Luis Angel ""El Flaco""",838615,https://open.spotify.com/track/3D3W7rDsuJIAtjInwh6Moc
118,"Amor Tumbado","Natanael Cano",837654,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
119,"Por Mi México","Lefty Sm",837439,https://open.spotify.com/track/2sUknbm8xdLQgH7wb8xcTX
120,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",835335,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
121,"Si Veo a Tu Mamá","Bad Bunny",834389,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
122,"Algo Mágico","Rauw Alejandro",831891,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
123,traitor,"Olivia Rodrigo",831429,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
124,"Me La Avente","Carin Leon",830350,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
125,"Mente Positiva","Junior H",824966,https://open.spotify.com/track/3WQilym5Vi4ypxb70vx0eY
126,"ALMAS GEMELAS","Myke Towers",816147,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
127,"Una Locura",Ozuna,813257,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
128,"Permission to Dance",BTS,810034,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
129,"Me Dediqué a Perderte","Alejandro Fernández",807634,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
130,"El Envidioso","Los Dos Carnales",802771,https://open.spotify.com/track/53PoPAD389bBE4ePYuT95g
131,"2 Veces","Los Plebes del Rancho de Ariel Camacho",798746,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
132,"Dime Cómo Quieres","Christian Nodal",798153,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
133,"El Color de Tus Ojos","Banda MS de Sergio Lizárraga",791697,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
134,"Vámonos a Marte","Kevin Kaarl",789842,https://open.spotify.com/track/2TzkIzgzIHhewMxyh1u4hh
135,Idiota,Morat,786322,https://open.spotify.com/track/0cS0bJ0oBylj3TFtz6x9pC
136,"Con Tus Besos","Eslabon Armado",785228,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
137,"Save Your Tears","The Weeknd",781132,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
138,"La Incondicional","Luis Miguel",772395,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
139,"Cerrando Ciclos","Banda MS de Sergio Lizárraga",768079,https://open.spotify.com/track/3fBJNawfhtgCmo58trRK2z
140,Diamantes,"Natanael Cano",756198,https://open.spotify.com/track/0JDrG1g5HXbfgGtRKT0ofH
141,"Devuélveme a mi chica","Hombres G",755175,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
142,"Simplemente Gracias","Calibre 50",748321,https://open.spotify.com/track/3K6noLeoPTQJ5jUErC8jT5
143,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",745837,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
144,"Amor Fugaz","Los Del Limit",742913,https://open.spotify.com/track/4O2bxKTnK9En7OPw8kGDDF
145,"A Mí","Rels B",742440,https://open.spotify.com/track/7MmrcXVA7A5zZ2CbDuGHNa
